Parameter,Model,SpRho,pValue,Parameter,Model,SpRhoMR,pValueMR,SpRho
C1,A,0.00194417391732763,0.829568148571087,C1,A,-0.19609059842065,1.53546710807961e-106,-0.19609059842065
C2,A,-0.000884660885614223,0.921973583981086,C2,A,-0.00314822265563301,0.727415060743685,-0.00314822265563301
CellVol,A,-0.0241707736427084,0.007438815462066,CellVol,A,-0.21102387553563,1.86234219269731e-123,-0.21102387553563
D1,A,0.0993715803747442,2.75266230810746e-28,D1,A,0.019291031581128,0.0326740898765323,0.019291031581128
D2,A,0.00868986797052416,0.335977311105502,D2,A,0.20461771670398,4.91436497399021e-116,0.20461771670398
I1,A,0.206391602606625,4.58485067122732e-118,I1,A,-0.165294158398676,7.83999763191807e-76,-0.165294158398676
I2,A,0.00874540057872421,0.332898187987868,I2,A,0.19683364366228,2.37794224698445e-107,0.19683364366228
Ks,A,0.91193557346652,0,Ks,A,-0.00188168152938226,0.834966305747472,-0.00188168152938226
M1,A,0.0106982471849426,0.236205856279607,M1,A,-0.0068342475704072,0.449239314221807,-0.0068342475704072
Met1,A,-0.00817640022725766,0.365311393867653,Met1,A,-0.0262842877019814,0.0036067837945152,-0.0262842877019814
O2,A,0.0107017096498768,0.236054219581237,O2,A,0.214954886035303,3.9140079172493e-128,0.214954886035303
O3,A,-0.0154786866753806,0.0865519411665168,O3,A,-0.205573737065121,3.97833067711994e-117,-0.205573737065121
r,A,0.0267288202960912,0.00307745653594826,r,A,0.221114310302385,1.18430728539068e-135,0.221114310302385
R1,A,-0.00364005252710131,0.68693272195933,R1,A,-0.00235060591405879,0.794667077726066,-0.00235060591405879
R2,A,0.00177922050007353,0.843833729353314,R2,A,-0.0150473930629927,0.0956908603515627,-0.0150473930629927
S,A,-0.0669359795453044,1.17699545498941e-13,S,A,-0.179240723841205,4.74551076732644e-89,-0.179240723841205
U1,A,-0.0359139858243268,6.96109132282431e-05,U1,A,0.0355213173017201,8.35108979193177e-05,0.0355213173017201
