Model,q25,q50,q75,max,min,count
A,0.024402530196913,0.057809279365068,0.127787006190045,0.425619858493115,-0.0534826878808609,12261
B,-0.00192052695672307,-4.6390082671286e-4,-1.1005484489922999e-4,0.0753544020016215,-0.167745711905674,5444
C,-0.007283075257141555,-0.0013779503272457298,8.126015192625088e-5,0.115898691307638,-0.284520727911362,13496
D,-0.9217320016489867,-0.9139646619469215,-0.9046540603080345,-0.112305642721999,-0.9448014744859,7128
E,0.02735593249063115,0.0616466299888695,0.12695191006519102,0.691593612357441,-0.918400194207441,10267
F,-0.9069502023845339,-0.879944419788606,-0.8272523073924425,-0.296980211108122,-1.08152884701834,10115
G,0.013624504313376475,0.0387485762263765,0.09659547003338918,0.35572711186457,-1.20680674463844,2730
H,0.020815965558541698,0.044654520184349206,0.1017421294492475,0.365458110561515,-0.0928734008934485,2210
I,0.01358873920885815,0.039740518647409045,0.09979039479476758,0.387913506543444,-1.56966481454899,3334
J,0.0380922298975004,0.0833773722318717,0.176476038023183,0.532883882425551,-0.148926732969317,11741
K,0.036803133781294,0.0886174101673505,0.179203581503571,1.52280130988091,-0.95119139439551,7365
