assay_ID,block,date,plate_ID,External_Treatment,genotype,Selective_marker,stock,coculture_strain,coculture_ID,genotype2,Media,LB_perc,GlcMedia,Mut_to_WT_ratio,glucose,N0_ul,N0_CFU_nx,N0,N0_coculture,N0_gen_to_co_ratio,Nt1_CFU_nx,Nt2_CFU_nx,Nt3_CFU_nx,Nt1_CFU,Nt2_CFU,Nt3_CFU,N0_CFU,Nt1_nx,Nt2_nx,Nt3_nx,Nt1,Nt2,Nt3,environment,CI_range_coculture_strain,CI_range_genotype,fluctuation_volume_t0,culture_volume_final,coculture,D_gen_nx,D_gen_all,D_genotype,D_coculture_strain,D_total,generations,generations_coculture_strain,incubation_mins,m_coculture_strain,m_genotype,m_lower_genotype,m_upper_genotype,mut_fitness_genotype,FlanWarnings,m_lower_coculture_strain,m_upper_coculture_strain,mutation_rate_coculture_strain,mutation_rate_gen_all,mutation_rate_gen_allL,mutation_rate_gen_allU,mutation_rate_gen_nx,mutation_rate_gen_nxL,mutation_rate_gen_nxU,mutation_rate_genotype,mutation_rate_genotype_lower,mutation_rate_genotype_upper,Mutations_per_generation,N_cultures,Nt_gen_all,Nt_gen_nx,Nt_genotype,Nt_coculture_strain,Nt_CV,Nt_dilution_nx,Nt_dilution,Nt_N0_ratio,Nt_SD,Nt_total,sd_m_coculture_strain,sd_m_genotype,Sel_CFU1,Sel_CFU10,Sel_CFU11,Sel_CFU12,Sel_CFU13,Sel_CFU14,Sel_CFU15,Sel_CFU16,Sel_CFU17,Sel_CFU18,Sel_CFU2,Sel_CFU3,Sel_CFU4,Sel_CFU5,Sel_CFU6,Sel_CFU7,Sel_CFU8,Sel_CFU9,Treatment,Weight0,Weight24,Abs_670_res,Abs_670_res1,Abs_670_res2,Abs_670_res3,Abs_670_res4,Layout,MutationFrequency,Oxygen,Notes,w_relative,Experimentor,N0_rep1,N0_rep2,N0_rep3,D_perc_gen,N0_mean_of_3,T_format
RG1_180ancestor1_noneControl71250000,RG1,09/11/2020,RG1_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,80,10,NA,9100,NA,NA,NA,NA,NA,24,33,NA,91,NA,NA,NA,59200000,81425781.25,NA,80,NA,44.01436918,1000,986.9791667,n,NA,71250000,71300000,0,71250000,12.91582739,NA,1470,NA,3.868706508,2.321111427,5.416301588,2.19022993,NA,NA,NA,NA,55.01396283,33.00677824,77.02114743,NA,NA,NA,55.01396283,33.00677824,77.02114743,0.299532224,17,70322265.63,NA,70300000,0,NA,NA,100000,7727.7214970000005,NA,70300000,NA,0.454982665,7,6,8,5,4,4,4,6,11,NA,2,6,0,24,18,4,7,4,ancestor1_none+Controly,211.54,210.29,NA,NA,NA,NA,NA,RG1A,100.3782154,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG1_1100ancestor1_noneControl228333333.333333,RG1,09/11/2020,RG1_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,100,10,NA,10100,NA,NA,NA,NA,NA,35,42,197,101,NA,NA,NA,86400000,103632812.5,486087239.6,100,NA,17.48239277,1000,986.9791667,n,NA,228333333.3,228000000,0,228333333.3,14.44559011,NA,1470,NA,4.053065878,2.083147736,6.02298402,3.889323875,NA,NA,NA,NA,17.98483097,9.243634583,26.72602735,NA,NA,NA,17.98483097,9.243634583,26.72602735,0.280574615,16,225360243.1,NA,225000000,0,0.818674235,NA,100000,22312.89535,184000000,225000000,NA,0.47591342,11,4,5,11,7,1,2,5,NA,NA,3,6,6,2,4,12,3,5,ancestor1_none+Controly,211.54,210.29,NA,NA,NA,NA,NA,RG1A,24.12803575,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG1_1250ancestor1_noneControl415833333.333333,RG1,09/11/2020,RG1_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,250,10,NA,21500,NA,NA,NA,NA,NA,191,150,158,215,NA,NA,NA,471000000,370117187.5,389856770.8,250,NA,9.667385049,1000,986.9791667,n,NA,415833333.3,416000000,0,415833333.3,14.22047267,NA,1470,NA,6.25323575,4.269397287,8.237074214,4.44098769,NA,NA,NA,NA,15.23622989,10.40253737,20.06992242,NA,NA,NA,15.23622989,10.40253737,20.06992242,0.439734733,16,410418836.8,NA,410000000,0,0.106684021,NA,100000,19089.24822,43800000,410000000,NA,0.545568278,5,9,10,5,7,6,10,11,NA,NA,11,18,6,8,11,7,4,1,ancestor1_none+Controly,211.54,210.29,NA,NA,NA,NA,NA,RG1A,19.64456618,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG1_1500ancestor1_noneControl930000000,RG1,09/11/2020,RG1_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,500,10,NA,9000,NA,NA,NA,NA,NA,211,209,696,90,NA,NA,NA,521000000,515696614.6,1717343750,500,NA,4.479571337,1000,986.9791667,n,NA,930000000,930000000,0,930000000,16.63803773,NA,1470,NA,3.461550345,1.405672078,5.517428612,1.109490146,NA,NA,NA,NA,3.771201329,1.53141566,6.010986998,NA,NA,NA,3.771201329,1.53141566,6.010986998,0.208050396,16,917890625,NA,918000000,0,0.615871108,NA,100000,101987.8472,565000000,918000000,NA,0.452841638,26,7,5,42,1,4,2,26,NA,NA,36,2,30,11,7,8,5,3,ancestor1_none+Controly,211.54,210.29,NA,NA,NA,NA,NA,RG1A,14.63954379,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG1_11000ancestor1_noneControl580833333.333333,RG1,09/11/2020,RG1_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,1000,10,NA,8500,NA,NA,NA,NA,NA,209,186,302,85,NA,NA,NA,516000000,458945312.5,745169270.8,1000,NA,3.874993869,1000,986.9791667,n,NA,580833333.3,581000000,0,580833333.3,16.04139342,NA,1470,NA,2.643302718,1.532593076,3.754012359,1.316841029,NA,NA,NA,NA,4.610917851,2.673420916,6.548414786,NA,NA,NA,4.610917851,2.673420916,6.548414786,0.164780119,16,573270399.3,NA,573000000,0,0.215847925,NA,100000,67443.57639,124000000,573000000,NA,0.415960768,7,4,27,6,0,5,0,1,NA,NA,3,18,19,10,5,2,3,10,ancestor1_none+Controly,211.54,210.29,NA,NA,NA,NA,NA,RG1A,13.08283143,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG2_180ancestor1_noneControl100833333.333333,RG2,16/11/2020,RG2_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,80,10,NA,7400,NA,NA,NA,NA,NA,46,33,42,74,NA,NA,NA,95700000,68681250,87412500,80,NA,34.3935037,1000,832.5,n,NA,100833333.3,101000000,0,100833333.3,13.46961002,NA,1440,NA,3.468050029,2.024490191,4.911609867,2.269587771,NA,NA,NA,NA,41.31397548,24.11722363,58.51072733,NA,NA,NA,41.31397548,24.11722363,58.51072733,0.257472193,16,83943750,NA,83900000,0,0.134789309,NA,100000,11343.75,11300000,83900000,NA,0.453109308,5,6,0,8,2,7,11,7,NA,NA,4,3,3,5,4,6,28,3,ancestor1_none+Controly,220.75,204.67,NA,NA,NA,NA,NA,RG2A,75.94371231,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG2_1100ancestor1_noneControl173333333.333333,RG2,16/11/2020,RG2_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,100,10,NA,7500,NA,NA,NA,NA,NA,88,63,57,75,NA,NA,NA,183000000,131118750,118631250,100,NA,28.98691632,1000,832.5,n,NA,173333333.3,173000000,0,173333333.3,14.23182118,NA,1440,NA,4.898866228,2.807460216,6.990272241,3.686931729,NA,NA,NA,NA,33.94917691,19.45571875,48.44263507,NA,NA,NA,33.94917691,19.45571875,48.44263507,0.344219209,15,144300000,NA,144000000,0,0.193625294,NA,100000,19240,27900000,144000000,NA,0.521759742,3,6,7,7,9,18,3,NA,NA,NA,3,7,5,11,2,7,5,8,ancestor1_none+Controly,220.75,204.67,NA,NA,NA,NA,NA,RG2A,46.66204666,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG2_1250ancestor1_noneControl303333333.333333,RG2,16/11/2020,RG2_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,250,10,NA,5900,NA,NA,NA,NA,NA,138,107,119,59,NA,NA,NA,287000000,222693750,247668750,250,NA,11.6307863,1000,832.5,n,NA,303333333.3,303000000,0,303333333.3,15.38535174,NA,1440,NA,2.845611485,1.37707933,4.31414364,1.729791233,NA,NA,NA,NA,11.26863275,5.453239601,17.0840259,NA,NA,NA,11.26863275,5.453239601,17.0840259,0.184955894,15,252525000,NA,253000000,0,0.105187856,NA,100000,42800.84746,26600000,253000000,NA,0.439699301,10,2,5,4,4,11,34,NA,NA,NA,1,2,8,2,8,6,2,1,ancestor1_none+Controly,220.75,204.67,NA,NA,NA,NA,NA,RG2A,26.4000264,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG2_1500ancestor1_noneControl405000000,RG2,16/11/2020,RG2_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,500,10,NA,8700,NA,NA,NA,NA,NA,210,118,158,87,NA,NA,NA,437000000,245587500,328837500,500,NA,9.809448684,1000,832.5,n,NA,405000000,405000000,0,405000000,15.24206916,NA,1440,NA,3.558615729,1.904926608,5.21230485,1.736141856,NA,NA,NA,NA,10.55460121,5.649876864,15.45932555,NA,NA,NA,10.55460121,5.649876864,15.45932555,0.23347327,16,337162500,NA,337000000,0,0.232501183,NA,100000,38754.310340000004,78400000,337000000,NA,0.456803731,5,39,13,5,3,7,3,12,NA,NA,8,2,5,2,1,9,14,4,ancestor1_none+Controly,220.75,204.67,NA,NA,NA,NA,NA,RG2A,24.46891336,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
RG2_11000ancestor1_noneControl372500000,RG2,16/11/2020,RG2_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,1000,10,NA,8900,NA,NA,NA,NA,NA,172,135,140,89,NA,NA,NA,358000000,280968750,291375000,1000,NA,8.607406262,1000,832.5,n,NA,372500000,373000000,0,372500000,15.08859774,NA,1440,NA,2.565625886,1.231020647,3.900231125,2.515050493,NA,NA,NA,NA,8.273376904,3.969673772,12.57708004,NA,NA,NA,8.273376904,3.969673772,12.57708004,0.170037397,16,310106250,NA,310000000,0,0.110007077,NA,100000,34843.39888,34100000,310000000,NA,0.412070947,6,7,3,1,6,1,2,1,NA,NA,1,8,1,7,1,12,3,6,ancestor1_none+Controly,220.75,204.67,NA,NA,NA,NA,NA,RG2A,13.3018925,+,NA,NA,RG,NA,NA,NA,100,NA,BW25113 Glc
