Well,Sample,PriorAvg,PostAvg,Post2Avg,PriorRaw,PostRaw,Post2Raw,OD_bc,time,AddH2O2,Strain,Glucose,LB,Catalase,RepNum,Week,Block,CellRemovalMethod,GAIN,Treatment,NetAvg,Repeat,Nutrient,NetFU
D01,Sample X8,1852.7,63346.7,64282.3,1956,63084,64803,NA,0,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,61494,blank2_00_.,LB,61128
D02,Sample X9,1832.7,65010.3,66894.7,1850,65116,66876,NA,0,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,63177.6,blank5_00_.,LB,63266
D03,Sample X10,1698.7,54207.3,55540.3,1722,54571,56443,NA,0,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,52508.6,hpx2_00_.,LB,52849
D04,Sample X11,1638.3,57707,59577.7,1674,57508,58033,NA,0,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,56068.7,hpx5_00_.,LB,55834
D05,Sample X12,1719,69936.7,71955.7,1589,70071,71438,NA,0,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,68217.7,MG2_00_.,LB,68482
D06,Sample X13,1611,60599,61289,1595,61336,61623,NA,0,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,58988,MG5_00_.,LB,59741
E01,Sample X8,1852.7,63346.7,64282.3,1784,65062,63477,NA,0,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,61494,blank2_00_.,LB,63278
E02,Sample X9,1832.7,65010.3,66894.7,1768,65790,65810,NA,0,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,63177.6,blank5_00_.,LB,64022
E03,Sample X10,1698.7,54207.3,55540.3,1788,54857,55199,NA,0,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,52508.6,hpx2_00_.,LB,53069
E04,Sample X11,1638.3,57707,59577.7,1611,58551,60426,NA,0,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,56068.7,hpx5_00_.,LB,56940
E05,Sample X12,1719,69936.7,71955.7,1740,69767,72237,NA,0,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,68217.7,MG2_00_.,LB,68027
E06,Sample X13,1611,60599,61289,1634,60112,60728,NA,0,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,58988,MG5_00_.,LB,58478
F01,Sample X8,1852.7,63346.7,64282.3,1818,61894,64567,NA,0,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,61494,blank2_00_.,LB,60076
F02,Sample X9,1832.7,65010.3,66894.7,1880,64125,67998,NA,0,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,63177.6,blank5_00_.,LB,62245
F03,Sample X10,1698.7,54207.3,55540.3,1586,53194,54979,NA,0,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,52508.6,hpx2_00_.,LB,51608
