figure	published	ID	Nt	density	evaporation	plate_ID	set	person	organism	strain	genotype	included	sep_2a	marker	Environment	lineage	phi	mmss	mutation_rate	N0	background	luminescence	SD_Nt	cell_count	Competition_time	V	C_plates	environment_Glc	environment_YP	SD_mutation_rate	Lnet_per_cell	SD_mmss_plates	Nt_N0_strain	generations	generation_time	Wabs	coefficient_of_variation	N0_Nt	Luminescence_gross	background_per_cell	background_per_Lnet	mmss_per_V	DNA_repair	Ne	mutation_supply	believed_plastic	occurrence_in_table	genotype_marker	sep_2b	nominal_growth_rate	Growth period	m_per_Vt
Nc	yes	03_01	346775000	404166667			3	R	Escherichia coli	B	0_plus		_Rif50	Rif50	Glc1000	1	0.99998103	0.751	2.1657	6578			91263805.5		24	1	24	1000		0.1960275		0.27365532	52717.3913	15.6859914	91.8016571	15.6859914	36.4387903	0.00001897				0.751		54880.7758	0.00011886	plastic	1	0_plus_Rif50	_0_plus	0.7726	20.302862232	0.0369898584
Nc	yes	04_01	495924000	578000000			4	R	Escherichia coli	B	0_plus		_Rif50	Rif50	Glc1000	1	0.99999842	0.673	1.3571	783			185287529		24	1	18	1000		0.26225701		0.32709589	633363.985	19.2726753	74.7171826	19.2726753	48.6026587	1.57887e-6				0.673		7936.75892	1.0771e-5	plastic	1	0_plus_Rif50	_0_plus	0.7726	24.945217845	0.026979119
Nc	yes	05_01	106681250	81250000			5	R	Escherichia coli	B	0_plus		_Rif50	Rif50	Glc1250	1	0.99999828	0.423	3.9533	183			49528418.3		24	1.5	12	1250		0.22935232		0.46371191	582957.65	19.1530316	75.1839204	19.1530316	109.624565	1.71539e-6				0.282		1844.00401	0.00000729	plastic	1	0_plus_Rif50	_0_plus	0.7726	24.790359248	0.0113753898
Nc	yes	05_02	93551250	71250000			5	R	Escherichia coli	B	0_plus		_Rif50	Rif50	Glc1500	1	0.99999817	0.7	7.4786	171.1			43670822.1		24	1.5	12	1500		0.18762559		0.39567589	546763.589	19.0605576	75.5486816	19.0605576	56.5251265	1.82894e-6				0.46666667		1716.18229	1.28346e-5	plastic	1	0_plus_Rif50	_0_plus	0.7726	24.670667415	0.0189158509
Nc	yes	07_02	300348750	228750000			7	R	Escherichia coli	B	20_minus		_Rif50	Rif50	Glc1000	1	0.99999494	0.496	1.6514	1520			58627324.6		24	1.5	12	1000		0.30194094		0.44103061	197597.862	17.5922078	81.8544219	17.5922078	88.9174626	5.06078e-6				0.33066667		14130.1159	2.33345e-5	plastic	1	20_minus_Rif50	_20_minus	0.8887	19.795440318	0.0167041835
Nc	yes	08_01	120358333	91666666.7			8	R	Escherichia coli	B	20_minus		_Rif50	Rif50	Glc1000	1	0.99999678	2.039	16.9411	388			76089832.2		24	1.5	20	1000		0.11233226		0.21885409	310201.89	18.242848	78.9350437	18.242848	10.7334031	3.22371e-6				1.35933333		3733.11876	6.32431e-5	plastic	1	20_minus_Rif50	_20_minus	0.8887	20.527566053	0.0662198982
Nc	yes	09_01	174460000	203333333			9	R	Escherichia coli	B	20_minus		_Rif50	Rif50	Glc1000	1	0.99999582	0.698	4.0009	730			21592526.5		24	1	13	1000		0.21952538		0.38049588	238986.301	17.8665684	80.5974582	17.8665684	54.5123032	4.18434e-6				0.698		6886.31235	2.75514e-5	plastic	1	20_minus_Rif50	_20_minus	0.8887	20.104161584	0.0347191798
Nc	yes	10_01	294580000	343333333			10	R	Escherichia coli	B	20_minus		_Rif50	Rif50	Glc1000	1	0.99999751	0.844	2.861	733			28564227.6		24	1	13	1000		0.24398397		0.3583988	401882.674	18.6164149	77.351091	18.6164149	42.4643123	2.48829e-6				0.844		7189.42553	2.05689e-5	plastic	1	20_minus_Rif50	_20_minus	0.8887	20.947918145	0.0402903999
Nc	yes	11_01	233805000	272500000			11	R	Escherichia coli	B	20_minus		_Rif50	Rif50	Glc1000	1	0.9999986	0.974	4.1659	327			186071796		24	1	15	1000		0.20178188		0.31892928	715000	19.4475837	74.0451884	19.4475837	32.7442789	1.3986e-6				0.974		3343.18241	1.39274e-5	plastic	1	20_minus_Rif50	_20_minus	0.8887	21.883181857	0.0445090667
Nc	yes	14_02	97640400	113800000			14	R	Escherichia coli	B	0_minus		_Rif50	Rif50	Glc100	1	0.99990933	0.488	4.9979	8853			12401192.2		24	1	14	100		0.19722138		0.41041179	11029.0749	13.4290242	107.230427	13.4290242	84.1007764	0.00009067				0.488		63873.1377	0.00031923	plastic	1	0_minus_Rif50	_0_minus	0.7726	17.381600004	0.0280756662
Nc	yes	14_03	260885625	304062500			14	R	Escherichia coli	B	0_minus		_Rif50	Rif50	Glc250	1	0.99995942	0.952	3.6491	10587			35097415.7		24	1	14	250		0.21776273		0.33250749	24642.0728	14.588836	98.705613	14.588836	34.9272573	4.0581e-5				0.952		82521.2802	0.00030113	plastic	1	0_minus_Rif50	_0_minus	0.7726	18.882780218	0.0504163046
Nc	yes	14_04	261690000	305000000			14	R	Escherichia coli	B	0_minus		_Rif50	Rif50	Glc500	1	0.99996184	0.855	3.2672	9987			56771630.3		24	1	14	500		0.22547932		0.34395589	26203.064	14.6774479	98.1096993	14.6774479	40.2287585	3.81635e-5				0.855		78286.916	0.00025578	plastic	1	0_minus_Rif50	_0_minus	0.7726	18.997473335	0.045005985
Nc	yes	14_05	315046875	367187500			14	R	Escherichia coli	B	0_minus		_Rif50	Rif50	Glc1000	1	0.99997092	0.636	2.0187	9160			36083346.8		24	1	17	1000		0.23812995		0.34262783	34393.7636	15.0698594	95.5549726	15.0698594	53.8723004	2.9075e-5				0.636		73601.0398	0.00014858	plastic	1	0_minus_Rif50	_0_minus	0.7726	19.505383608	0.0326063826
Nc	yes	16_02	141212500	164583333			16	R	Escherichia coli	B	0_minus		_Rif50	Rif50	Glc100	1	0.99988141	0.467	3.3071	16747			26355291.8		24	1	20	100		0.1879296		0.34816593	8432.10724	13.0416775	110.415244	13.0416775	74.5537328	0.00011859				0.467		117585.014	0.00038887	plastic	1	0_minus_Rif50	_0_minus	0.7726	16.880245276	0.0276654748
Nc	yes	16_03	375017500	437083333			16	R	Escherichia coli	B	0_minus		_Rif50	Rif50	Glc250	1	0.99995001	1.007	2.6852	18747			35903395.9		24	1	21	250		0.19583883		0.26673018	20004.134	14.2880106	100.7838	14.2880106	26.4876048	0.00004999				1.007		143305.91	0.00038481	plastic	1	0_minus_Rif50	_0_minus	0.7726	18.493412572	0.0544518215
Nc	yes	16_04	375017500	437083333			16	R	Escherichia coli	B	0_minus		_Rif50	Rif50	Glc250	1	0.99995001	0.89	2.3732	18747			35903395.9		24	1	21	250		0.2036086		0.27731195	20004.134	14.2880106	100.7838	14.2880106	31.1586464	0.00004999				0.89		143305.91	0.00034009	plastic	1	0_minus_Rif50	_0_minus	0.7726	18.493412572	0.0481252444
Nc	yes	18_01	129236250	150625000			18	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc125	1	0.999935	0.903	6.9872	8400			16557306.7		24	1	17	125		0.16104829		0.30681034	15385.2679	13.9092619	103.528139	13.9092619	33.9767814	6.49972e-5				0.903		62620.9846	0.00043755	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.337142489	0.0629832619
Nc	yes	18_02	179643750	209375000			18	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99995074	0.917	5.1045	8850			33751105.3		24	1	17	250		0.17778961		0.30532705	20298.7288	14.3091018	100.635248	14.3091018	33.2962981	4.92642e-5				0.917		67744.5232	0.0003458	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.749282293	0.0621725167
Nc	yes	18_03	206992500	241250000			18	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc1000	1	0.99996481	1.218	5.8843	7283.33333			45854862.6		24	1	17	1000		0.17000346		0.27921113	28420.0229	14.7946201	97.3326784	14.7946201	22.9237384	3.51865e-5				1.218		57519.5602	0.00033846	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.249736276	0.0798702337
Nc	yes	18_04	126555000	147500000			18	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc125	1	0.99993823	0.603	4.7647	7816.7			15859467.2		24	1	17	125		0.18168975		0.3484269	16190.3361	13.9828453	102.983332	13.9828453	57.7822385	6.17652e-5				0.603		58560.0212	0.00027902	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.412989452	0.0418372609
Nc	yes	18_05	193586250	225625000			18	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99995454	0.784	4.0499	8800			22860440.9		24	1	17	250		0.19123469		0.32077615	21998.4375	14.4251134	99.8259048	14.4251134	40.915325	4.54578e-5				0.784		67872.1301	0.00027488	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.868862749	0.0527276372
Nc	yes	18_06	219326250	255625000			18	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc1000	1	0.99996938	1.753	7.9927	6716.7			19610431.1		24	1	17	1000		0.1543701		0.2489547	32653.8702	14.9949664	96.032226	14.9949664	14.201637	3.06242e-5				1.753		53717.5191	0.00042935	non-plastic	1	luxS_Rif50	_luxS	0.9701558	15.456245659	0.1134169344
Nc	yes	19_01	148756375	173750000			19	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc125	1	0.99994909	0.576	3.8721	7573.33			17405178		25	1	17	125		0.19395834		0.35349115	19642.1356	14.2616642	105.177066	13.6911976	61.3699914	0.00005091				0.576		57792.1352	0.00022378	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.112370003	0.0408152564
Nc	yes	19_02	232639688	271875000			19	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99997364	0.763	3.2797	6133.33			31611377.6		25	1	17	250		0.20437317		0.32353137	37930.4044	15.2110671	98.6124107	14.6026244	42.4025388	2.63641e-5				0.763		49714.3692	0.00016305	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.051834405	0.0506914958
Nc	yes	19_03	212923938	248750000			19	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc1000	1	0.99998159	0.987	4.6355	3920			14193580		25	1	17	1000		0.18326993		0.2983333	54317.331	15.729125	95.3644912	15.09996	30.226271	0.00001841				0.987		32789.4029	0.000152	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.564469101	0.0634136631
Nc	yes	19_04	146048063	170625000			19	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc125	1	0.99994267	0.545	3.7316	8373.33			10309626.6		25	1	17	125		0.19622967		0.35970521	17442.0526	14.0902822	106.456349	13.5266709	66.0009562	5.73327e-5				0.545		63179.5927	0.00023576	non-plastic	1	luxS_Rif50	_luxS	0.9701558	13.942782099	0.0390883251
Nc	yes	19_05	213917375	250000000			19	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99996129	1.397	6.5306	8280			42661745.5		25	1	17	250		0.16451345		0.26740822	25835.4318	14.6570634	102.339736	14.0707808	19.1416052	3.87065e-5				1.397		64821.5707	0.00042332	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.503630076	0.0963207137
Nc	yes	19_06	261575813	305625000			19	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc1000	1	0.99998277	0.972	3.7159	4506.7			52939990		25	1	17	1000		0.19649046		0.29977593	58041.5409	15.8247982	94.7879386	15.1918063	30.8411447	0.00001723				0.972		37912.499	0.00014088	non-plastic	1	luxS_Rif50	_luxS	0.9701558	15.659140803	0.0620723712
Nc	yes	20_01	132709375	153125000			20	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc100	1	0.9999358	0.866	6.5255	8520			16270154.4		24	1	17	100		0.16455394		0.31088051	15576.2177	13.9270573	103.395855	13.9270573	35.898442	0.0000642				0.866		63591.3465	0.00041497	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.355485309	0.0603253726
Nc	yes	20_02	181960688	210000000			20	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.9999678	0.848	4.6603	5860			32026728.4		24	1	17	250		0.18296215		0.31294422	31051.3119	14.9223666	96.4994386	14.9223666	36.9037995	3.22048e-5				0.848		46653.3013	0.00021742	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.381412553	0.0551314775
Nc	yes	20_03	169791125	195625000			20	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc1000	1	0.99997487	1.155	6.8025	4266.7			25146009.6		24	1	17	1000		0.16241309		0.28392151	39794.484	15.2802809	94.2391056	15.2802809	24.5819493	0.00002513				1.155		34731.9928	0.00023626	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.750337059	0.073331764
Nc	yes	20_04	155063188	178750000			20	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc100	1	0.99995692	0.718	4.6304	6680			15435097.9		24	1	17	100		0.18333349		0.32978616	23213.052	14.5026486	99.2922079	14.5026486	45.9312203	0.00004308				0.718		51780.0294	0.00023976	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.94878307	0.0480306655
Nc	yes	20_05	261130750	301250000			20	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99996998	0.613	2.3475	7840			33097042		24	1	17	250		0.22707581		0.34662635	33307.4936	15.0235592	95.8494577	15.0235592	56.5458978	3.00233e-5				0.613		62813.2991	0.00014745	non-plastic	1	luxS_Rif50	_luxS	0.9701558	15.485718042	0.0395848612
